source,label,pair,corr_raw_gate,corr_new_gate,delta_corr_gate,rmse_raw_gate,rmse_new_gate,delta_rmse_gate,mae_raw_gate,mae_new_gate,delta_mae_gate,snr_thr_p,snr_mean,pass_rate,n_pass,n_windows,time_s,fig
PIV_C,c000,c000a.bmp+c000b.bmp,0.005317124051684873,0.03473847596461556,0.029421351912930688,15.123954902637603,6.885855470737997,8.238099431899606,4.621822431213333,1.4477646817990506,3.174057749414283,2.206720315907638,4.862073413511115,94.96296296296296,1923,2025,313.3969124,c000_result.png
PIV_C,c001,c001a.bmp+c001b.bmp,0.03462741332218323,0.04776195892276163,0.013134545600578404,14.787794472123965,7.987685943965329,6.800108528158636,4.3549408219684285,1.6680732666292932,2.686867555339135,2.132385367613535,4.927407567125467,94.96296296296296,1923,2025,308.75690439999994,c001_result.png
PIV_C,c002,c002a.bmp+c002b.bmp,0.04592268788627818,0.03742506911289059,-0.008497618773387589,14.864324260143343,9.451018550259695,5.413305709883648,4.318129913912034,2.047869529748245,2.2702603841637887,2.2004608048291825,4.93557890311854,94.96296296296296,1923,2025,305.2887029,c002_result.png
PIV_C,c003,c003a.bmp+c003b.bmp,0.026591469289992037,0.006718740859257722,-0.019872728430734315,15.134079849937729,8.465348431312611,6.668731418625118,4.185283291351029,1.5604096662931126,2.624873625057916,2.170847569282927,5.0054300023722,94.96296296296296,1923,2025,295.78526320000003,c003_result.png
PIV_C,c004,c004a.bmp+c004b.bmp,0.013603428116787337,0.0408141681407344,0.027210740023947064,14.625518887749195,8.289544377639949,6.335974510109246,4.105775362541519,1.6489010379843982,2.4568743245571207,2.2282830928936628,5.073250653476444,94.96296296296296,1923,2025,283.85278919999996,c004_result.png
PIV_C,c005,c005a.bmp+c005b.bmp,0.042400659366608584,0.035791750776402835,-0.006608908590205749,14.42670087840592,8.117509443663678,6.309191434742242,4.046644876721563,1.6328896264108808,2.4137552503106816,2.2028286783288635,5.013013492342361,94.96296296296296,1923,2025,291.16463769999996,c005_result.png
PIV_C,c006,c006a.bmp+c006b.bmp,0.03826465416991627,0.04040409271086081,0.0021394385409445396,15.950068160285692,10.288439182127739,5.661628978157953,4.615069577155774,2.1666940830860573,2.4483754940697167,2.208469865161834,5.099353983938538,94.96296296296296,1923,2025,303.1888598999999,c006_result.png
PIV_C,c007,c007a.bmp+c007b.bmp,0.006423230572034923,0.008845775542051366,0.0024225449700164426,15.360805483040922,9.582201189404783,5.778604293636139,4.42626278388435,2.0584452545473013,2.3678175293370485,2.197435990563143,4.998130413596443,94.96296296296296,1923,2025,298.0434344,c007_result.png
PIV_C,c008,c008a.bmp+c008b.bmp,0.0010699650971606545,0.028142159218330992,0.02707219412117034,16.03517153141256,8.871009140288576,7.164162391123982,4.731487703660831,1.7518790535578557,2.9796086501029757,2.259020461050631,4.979821770998951,94.96296296296296,1923,2025,303.48926029999984,c008_result.png
PIV_C,c009,c009a.bmp+c009b.bmp,0.06612033616189762,0.02670364692855206,-0.03941668923334556,14.26372145687308,9.196513570794314,5.067207886078766,3.9323253603952115,1.7589171302349134,2.173408230160298,2.2251144822516435,5.007380723386207,94.96296296296296,1923,2025,317.10021640000014,c009_result.png
PIV_C,c010,c010a.bmp+c010b.bmp,0.006501860479631657,0.017413896820506144,0.010912036340874487,12.73330225777445,6.916080135159745,5.817222122614706,3.289315064297191,1.1524100934691235,2.136904970828067,2.222433463214079,5.076296064816309,94.96296296296296,1923,2025,307.0832577000001,c010_result.png
PIV_C,c011,c011a.bmp+c011b.bmp,0.008643053859214808,0.009597599502867395,0.0009545456436525872,14.64832056437183,8.29893289555799,6.34938766881384,4.088031776770133,1.6607954045182145,2.427236372251918,2.23022836688857,5.064312496346579,94.96296296296296,1923,2025,295.9639238,c011_result.png
PIV_C,c012,c012a.bmp+c012b.bmp,0.014259792919079528,0.0321957289845238,0.017935936065444275,15.032912634496455,8.001191096112311,7.031721538384144,4.16978289088378,1.512839204105464,2.656943686778316,2.217676362577781,5.093081702343388,94.96296296296296,1923,2025,314.9446455000002,c012_result.png
PIV_C,c013,c013a.bmp+c013b.bmp,0.010020819693979287,0.026341935297308383,0.016321115603329096,13.12536478514604,8.378825203775152,4.746539581370888,3.5286333352020214,1.7483013630747772,1.7803319721272441,2.2071645295746216,5.082676807168404,94.96296296296296,1923,2025,313.0446986000002,c013_result.png
PIV_C,c014,c014a.bmp+c014b.bmp,0.017884651809452392,0.012055650015240145,-0.005829001794212247,17.199153814273263,11.417974761115712,5.781179053157551,5.1637736012528395,2.609916820444004,2.5538567808088355,2.1989585926512154,5.0102124909410515,94.96296296296296,1923,2025,299.3198962000006,c014_result.png
PIV_C,c015,c015a.bmp+c015b.bmp,0.0452504995506471,0.05895509040726477,0.013704590856617675,17.179870381420493,10.7100044544557,6.469865926964793,5.511234308648881,2.528386487777601,2.9828478208712794,2.257506332533808,5.005026504104619,94.96296296296296,1923,2025,299.38172060000034,c015_result.png
PIV_C,c016,c016a.bmp+c016b.bmp,0.026907612098837325,0.009383415537182208,-0.017524196561655117,14.034080089773706,8.213698091879047,5.820381997894659,3.986747587198674,1.6479672460011923,2.3387803411974817,2.1766512043142985,5.10051697480265,94.96296296296296,1923,2025,298.6089616999998,c016_result.png
PIV_C,c017,c017a.bmp+c017b.bmp,0.012014249187215753,0.018239851546133192,0.006225602358917439,14.652551667376924,8.876265139620417,5.776286527756508,4.3276469553175465,1.9434623819064718,2.3841845734110745,2.1918282081845044,5.154725525081656,94.96296296296296,1923,2025,308.8867089999994,c017_result.png
PIV_C,c018,c018a.bmp+c018b.bmp,0.053211415687122524,0.08729664481930861,0.03408522913218609,15.15002760858025,8.962007330473073,6.188020278107178,4.380863157250302,1.8921639182054684,2.488699239044834,2.2084859503250667,5.1406474894870335,94.96296296296296,1923,2025,296.9151867999999,c018_result.png
PIV_C,c019,c019a.bmp+c019b.bmp,0.008281943192933607,0.03812046320800142,0.029838520015067815,16.778126935865043,10.130857766497241,6.647269169367801,5.217491700153985,2.2981172826194403,2.919374417534545,2.1010693123710107,5.202982489641713,94.96296296296296,1923,2025,298.7835966999992,c019_result.png
