source,n_pairs,mean_delta_corr_gate,mean_delta_rmse_gate,mean_delta_mae_gate,mean_pass_rate,mean_snr_thr,mean_time_s,pos_delta_corr,pos_delta_rmse
PIV_C,100,0.005710862534375918,6.2245048516696215,2.7643115612496625,94.96484109360063,2.161398143990373,298.609042329,62,100
PIV_E,198,0.003233852634108291,9.90941745262341,10.145777473017263,94.30226566681853,1.4739022981503038,282.80834826060635,101,198
PIV_book,22,0.04328069455366005,5.100912409966248,3.91530492324721,95.11181817490524,1.8150223061512618,309.95164758181835,19,22
